SU,Stratum,Park,Area,Park_Area,Moose
6,Low,N,2.90146,0,0
42,Medium,N,4.70132,0,8
47,Medium,N,4.70244,0,1
64,Low,N,4.70534,0,9
89,Low,N,2.44203,0,0
95,Low,N,4.70936,0,7
97,Low,N,4.70957,0,0
102,Low,Y,4.71012,1.07114,2
141,High,Y,4.09986,4.0995,4
143,Low,Y,4.71349,4.45901,0
164,Low,Y,4.71524,4.71524,1
169,Medium,Y,4.71578,4.71578,5
171,Low,Y,4.71601,4.71601,3
200,High,Y,4.71792,4.71792,0
212,Medium,Y,4.71925,4.71925,1
222,Medium,Y,4.71968,4.71968,3
224,High,Y,4.71989,4.71989,13
227,Low,Y,4.72023,4.72023,1
234,High,Y,4.72042,4.72042,12
246,Low,Y,4.72167,4.72167,4
249,High,Y,4.72202,4.72202,3
256,Low,Y,4.72215,4.72215,8
274,Medium,Y,4.72349,4.72349,7
282,Low,Y,4.72433,4.72433,2
294,Medium,Y,4.72503,4.72503,12
298,Low,Y,4.72545,1.40352,6
304,Low,Y,4.72611,4.51793,2
308,Low,Y,4.72608,4.72608,0
312,High,Y,4.72647,4.72647,34
313,High,Y,4.72658,4.72658,34
327,Low,N,2.60981,0,0
332,Medium,Y,4.72772,4.72772,8
335,High,Y,4.72802,4.72802,11
341,Low,Y,4.72866,3.92304,2
351,Low,Y,4.72896,1.49036,1
354,Medium,Y,4.72926,2.33029,9
356,High,Y,4.72946,4.72946,8
362,Medium,N,4.73009,0.0011,8
371,Low,N,4.73022,0,1
376,Low,N,4.73069,0,4
377,Medium,Y,4.73079,0.7275,8
378,Low,Y,4.7309,3.96591,1
397,High,N,4.73213,0,4
403,Low,N,4.73276,0,0
408,High,N,4.73332,0,7
412,Medium,N,4.73309,0,6
417,Medium,N,4.73357,0,12
418,Medium,N,4.73367,0,7
421,Medium,N,4.73398,0,4
422,Medium,N,4.73409,0,3
439,Medium,N,4.73511,0,11
440,Medium,N,4.73521,0,2
443,Low,N,4.73553,0,3
450,Low,N,4.40087,0,0
487,Low,N,4.73862,0,3
500,Low,N,4.73922,0,0
507,Low,N,4.73995,0,0
518,Low,N,4.74037,0,0
522,Medium,N,4.74076,0,6
530,Medium,N,4.74161,0,1
556,Low,N,4.74306,0,1
582,Low,N,4.74497,0,0
585,Low,N,4.74527,0,10
603,Low,N,4.7464,0,0
619,Medium,N,4.74736,0,0
630,Medium,N,4.74846,0,4
634,Low,N,4.7489,0,4
661,Low,N,4.75041,0,0
670,Low,N,4.75132,0,2
671,Low,N,4.75143,0,0
683,Low,N,4.75213,0,1
685,Low,N,4.75234,0,4
686,Low,N,4.75244,0,2
687,Low,N,4.75254,0,0
702,Low,N,4.75357,0,1
704,Low,N,4.75377,0,7
707,Low,N,4.75408,0,0
721,Low,N,4.755,0,0
726,Low,N,4.75552,0,0
740,Low,N,4.75674,0,0
742,Low,N,4.75695,0,1
766,Low,N,4.75939,0,0
788,Low,N,4.76186,0,0
794,Medium,N,4.76246,0,1
797,Low,N,4.76278,0,0
811,Low,N,2.48954,0,0
813,Low,N,4.76482,0,0
837,Low,N,4.76787,0,1
864,Low,N,4.64328,0,0
866,Low,N,4.77196,0,0
874,Low,N,4.13633,0,0
