Sample.Label,Effort,Region.Label,Area,object,size,distance,Activity,CRNCL
71,2.190649136,Outside,2936.943168,,,,,
76,5.615528845,Outside,2936.943168,449,2,0.06114849,M,65
80,0.752662157,Outside,2936.943168,,,,,
84,0.829474807,Outside,2936.943168,,,,,
88,0.906325291,Outside,2936.943168,,,,,
92,0.983208607,Outside,2936.943168,,,,,
95,3.631245384,Outside,2936.943168,,,,,
98,2.94452992,Outside,2936.943168,,,,,
101,7.195327131,Outside,2936.943168,,,,,
104,3.09530585,Outside,2936.943168,,,,,
105,3.3509292,Outside,2936.943168,,,,,
106,4.085360121,Outside,2936.943168,,,,,
107,3.315811878,Outside,2936.943168,,,,,
109,2.404709559,Outside,2936.943168,,,,,
111,6.442393165,Outside,2936.943168,,,,,
112,4.013616521,Outside,2936.943168,,,,,
113,9,Outside,2936.943168,,,,,
114,6.104243852,Outside,2936.943168,,,,,
116,3.924204309,Outside,2936.943168,,,,,
117,9,Outside,2936.943168,,,,,
118,7.733277256,Outside,2936.943168,,,,,
120,6.409358186,Outside,2936.943168,,,,,
121,9,Outside,2936.943168,,,,,
122,8.190790094,Outside,2936.943168,,,,,
124,4.981394133,Outside,2936.943168,,,,,
125,9,Outside,2936.943168,,,,,
126,7.768395231,Outside,2936.943168,1085,2,0.022739913,S,65
129,6.422439601,Outside,2936.943168,,,,,
130,9,Outside,2936.943168,,,,,
131,9,Outside,2936.943168,,,,,
133,5.500690972,Outside,2936.943168,,,,,
134,9,Outside,2936.943168,,,,,
135,9,Outside,2936.943168,1087,2,0.036278305,S,60
137,0.141756326,Outside,2936.943168,,,,,
138,3.684860619,Outside,2936.943168,,,,,
139,4.885729577,Outside,2936.943168,1089,2,0.043566318,S,70
140,9,Outside,2936.943168,,,,,
141,9,Outside,2936.943168,,,,,
143,9,Outside,2936.943168,,,,,
144,9,Outside,2936.943168,,,,,
145,9,Outside,2936.943168,,,,,
146,9,Outside,2936.943168,,,,,
147,9,Outside,2936.943168,1091,2,0.160267228,S,0
148,9,Outside,2936.943168,,,,,
149,5.40464939,Outside,2936.943168,,,,,
150,9,Outside,2936.943168,1093,2,0.096041128,M,55
151,5.856066358,Outside,2936.943168,,,,,
152,9,Outside,2936.943168,,,,,
153,9,Outside,2936.943168,,,,,
154,9,Outside,2936.943168,,,,,
155,4.444416159,Outside,2936.943168,14,1,0.015742112,S,40
156,9,Outside,2936.943168,,,,,
157,9,Outside,2936.943168,12,4,0.33849933,B,40
158,9,Outside,2936.943168,,,,,
159,6.25825,Outside,2936.943168,,,,,
160,9,Outside,2936.943168,,,,,
161,9,Outside,2936.943168,16,1,0.110588021,S,60
162,9,Outside,2936.943168,,,,,
163,9,Outside,2936.943168,,,,,
164,3.198694444,Outside,2936.943168,18,1,0.002007952,S,75
165,6.30368984,Outside,2936.943168,,,,,
166,9,Outside,2936.943168,25,3,0.241092682,S,20
167,9,Outside,2936.943168,21,1,0.044569574,M,0
168,9,Outside,2936.943168,,,,,
169,9,Outside,2936.943168,,,,,
170,7.362899764,Outside,2936.943168,,,,,
171,9,Outside,2936.943168,27,2,0.124888654,M,0
172,9,Outside,2936.943168,,,,,
173,9,Outside,2936.943168,29,3,0.101196211,S,45
173,9,Outside,2936.943168,31,3,0.075859681,S,35
174,9,Outside,2936.943168,33,1,0.00053784,M,35
174,9,Outside,2936.943168,35,3,0.573284398,M,25
174,9,Outside,2936.943168,37,1,0.180621378,M,65
175,8.289084494,Outside,2936.943168,,,,,
176,9,Outside,2936.943168,,,,,
177,9,Outside,2936.943168,,,,,
178,9,Outside,2936.943168,43,1,0.00797119,M,40
179,9,Outside,2936.943168,39,4,0.269119009,B,75
179,9,Outside,2936.943168,40,3,0.033289586,B,75
180,9,Outside,2936.943168,,,,,
181,9,Outside,2936.943168,45,3,0.015841304,S,35
182,9,Outside,2936.943168,47,1,0.276195859,B,65
183,9,Outside,2936.943168,49,1,0.00141592,B,70
183,9,Outside,2936.943168,51,2,0.128028295,B,0
183,9,Outside,2936.943168,53,1,0.062281224,M,35
183,9,Outside,2936.943168,55,1,0.056599339,B,35
184,8.358155371,Outside,2936.943168,,,,,
185,9,Outside,2936.943168,435,2,0.083974821,S,65
185,9,Outside,2936.943168,437,3,0.127729562,S,20
185,9,Outside,2936.943168,439,2,0.011655851,S,0
185,9,Outside,2936.943168,433,1,0.250918725,B,20
186,9,Outside,2936.943168,431,2,0.035412956,S,60
187,9,Outside,2936.943168,,,,,
188,9,Outside,2936.943168,430,2,0.208112225,B,0
189,6.883475877,Outside,2936.943168,,,,,
190,2.007695093,Outside,2936.943168,,,,,
191,9,Outside,2936.943168,418,1,0.08910542,M,20
191,9,Outside,2936.943168,420,1,0.11810425,S,25
191,9,Outside,2936.943168,421,1,0.057982852,S,25
191,9,Outside,2936.943168,423,1,0.108615692,S,25
191,9,Outside,2936.943168,424,3,0.293221466,S,30
191,9,Outside,2936.943168,426,1,0.01482904,S,30
192,9,Outside,2936.943168,,,,,
193,9,Outside,2936.943168,,,,,
194,9,Outside,2936.943168,,,,,
195,5.797290441,Outside,2936.943168,428,1,0.045308773,S,30
196,3.84750601,Outside,2936.943168,413,1,0.039134273,S,50
196,3.84750601,Outside,2936.943168,415,1,0.031468419,S,60
197,9,Outside,2936.943168,,,,,
198,8.583410141,Outside,2936.943168,411,1,0.110859056,S,30
199,9,Outside,2936.943168,406,2,0.043291922,S,65
199,9,Outside,2936.943168,408,2,0.012065801,S,65
199,9,Outside,2936.943168,409,1,0.036198656,S,65
200,5.904545894,Outside,2936.943168,,,,,
201,4.256602401,Outside,2936.943168,,,,,
202,4.949004089,Outside,2936.943168,,,,,
203,2.666856618,Outside,2936.943168,,,,,
204,2.957117606,Outside,2936.943168,,,,,
205,3.387323248,Outside,2936.943168,,,,,
206,2.243897672,Outside,2936.943168,,,,,
207,3.161451236,Outside,2936.943168,371,2,0.095080268,S,0
207,3.161451236,Outside,2936.943168,375,2,0.312425516,S,30
208,6.9908,Outside,2936.943168,382,1,0.1161279,M,25
209,4.287113091,Outside,2936.943168,,,,,
210,3.024944992,Outside,2936.943168,,,,,
211,2.213640892,Outside,2936.943168,,,,,
212,9,Outside,2936.943168,1062,1,0.156221058,B,10
213,6.089487132,Outside,2936.943168,,,,,
214,4.473516047,Outside,2936.943168,1069,2,0.027602301,B,75
215,9,Outside,2936.943168,1067,3,0.22879367,B,10
216,7.209223864,Outside,2936.943168,1065,1,0.070729941,M,70
217,4.669801471,Outside,2936.943168,,,,,
218,9,Outside,2936.943168,1071,4,0.003124998,S,10
219,3.987317164,Outside,2936.943168,,,,,
220,9,Outside,2936.943168,1073,1,0.015275263,S,45
220,9,Outside,2936.943168,1075,3,0.103801339,S,25
221,4.388226826,Outside,2936.943168,,,,,
222,9,Outside,2936.943168,397,3,0.124148482,S,0
223,5.54689199,Outside,2936.943168,395,1,0.033365418,M,55
224,9,Outside,2936.943168,387,2,0.086179965,M,55
224,9,Outside,2936.943168,389,2,0.153680711,S,55
224,9,Outside,2936.943168,394,2,0.015211789,S,15
224,9,Outside,2936.943168,391,1,0.075054915,S,20
225,7.839914063,Outside,2936.943168,378,2,0.132480474,S,35
226,9,Outside,2936.943168,,,,,
300,9.149612935,Park,951.613688,512,3,0.065737843,B,35
300,9.149612935,Park,951.613688,514,5,0.185200831,B,25
300,9.149612935,Park,951.613688,516,2,0.040397071,B,25
300,9.149612935,Park,951.613688,518,2,0.053833009,B,25
300,9.149612935,Park,951.613688,520,3,0.204684653,S,25
300,9.149612935,Park,951.613688,522,2,0.14260505,S,25
300,9.149612935,Park,951.613688,524,2,0.181355232,B,0
301,5.841836734,Park,951.613688,106,7,0.147811179,B,15
301,5.841836734,Park,951.613688,108,1,0.052039551,B,55
301,5.841836734,Park,951.613688,110,3,0.133502969,S,20
302,2.030602953,Park,951.613688,578,1,0.465930048,S,45
303,3.075272614,Park,951.613688,580,6,0.103706709,S,25
303,3.075272614,Park,951.613688,582,2,0.430241488,S,0
304,4.214054595,Park,951.613688,584,3,0.299134466,S,0
305,10,Park,951.613688,586,1,0.017066429,B,50
305,10,Park,951.613688,590,1,0.017066429,B,50
305,10,Park,951.613688,589,2,0.055592866,B,0
305,10,Park,951.613688,591,12,0.101013462,S,30
305,10,Park,951.613688,595,12,0.168146648,B,40
305,10,Park,951.613688,305,8,0.094189873,S,15
305,10,Park,951.613688,634,2,0.098394519,B,50
305,10,Park,951.613688,628,1,0.190293286,S,70
306,10.43642528,Park,951.613688,601,3,0.209539152,B,5
306,10.43642528,Park,951.613688,603,8,0.199109294,B,0
307,7.414042531,Park,951.613688,575,1,0.098860622,B,5
307,7.414042531,Park,951.613688,577,2,0.360881563,B,25
308,6.419362904,Park,951.613688,573,1,0.265711684,B,25
309,10,Park,951.613688,561,3,0.112152999,S,0
309,10,Park,951.613688,563,4,0.125108163,B,15
309,10,Park,951.613688,565,2,0.045913886,B,0
309,10,Park,951.613688,567,1,0.016426475,B,10
309,10,Park,951.613688,569,8,0.39527741,S,0
309,10,Park,951.613688,571,10,0.376517127,S,10
310,10.26809976,Park,951.613688,557,3,0.351825888,M,25
310,10.26809976,Park,951.613688,559,1,0.453681219,S,10
311,6.804115202,Park,951.613688,,,,,
312,10,Park,951.613688,,,,,
313,10,Park,951.613688,624,1,0.015277707,B,70
313,10,Park,951.613688,626,1,0.010451165,M,20
314,8.848714587,Park,951.613688,622,4,0.181720967,B,10
315,2.353445559,Park,951.613688,636,1,0.378541392,B,15
316,10,Park,951.613688,605,1,0.390096489,S,30
317,10,Park,951.613688,608,2,0.305675823,S,20
317,10,Park,951.613688,610,5,0.121010764,B,20
