Sample.Label,object,size,distance
126_2,1085,2,0.02274067
135_1,1087,2,0.0362758
139_3,1089,2,0.0435649
147_1,1091,2,0.16025822
150_1,1093,2,0.09603547
155_1,14,1,0.0157425
157_9,12,4,0.338481148
161_4,16,1,0.11058783
164_2,18,1,0.00200773
166_9,25,3,0.241100903
167_4,21,1,0.04456309
171_8,27,2,0.12489537
173_9,29,3,0.10119098
173_9,31,3,0.07585659
174_1,37,1,0.18059876
174_1,35,3,0.57321343
174_9,33,1,0.00053832
178_2,43,1,0.00796704
179_2,39,4,0.269083
179_2,40,3,0.03328924
181_9,45,3,0.01584229
182_1,47,1,0.276181963
183_1,55,1,0.05659272
183_3,53,1,0.062281
183_6,51,2,0.12801462
183_7,49,1,0.00141991
185_6,435,2,0.08397518
185_6,437,3,0.12773259
185_6,439,2,0.01165171
185_8,433,1,0.25093543
186_1,431,2,0.0354124
188_5,430,2,0.20810268
191_1,426,1,0.01483063
191_2,423,1,0.10861734
191_2,424,3,0.29323172
191_3,420,1,0.11810577
191_3,421,1,0.05798142
191_5,418,1,0.08910524
196_1,413,1,0.03913712
196_2,415,1,0.03147051
196_4,428,1,0.04530542
198_8,411,1,0.11086079
199_9,406,2,0.04329115
199_9,408,2,0.01206387
199_9,409,1,0.03619798
208_1,382,1,0.11612764
212_6,1062,1,0.15621255
214_1,1069,2,0.02760341
215_6,1067,3,0.22879377
215_8,1071,4,0.00313026
216_4,1065,1,0.07073152
220_3,1073,1,0.0152715
220_3,1075,3,0.1038058
222_4,397,3,0.12415431
223_4,395,1,0.03336908
224_1,387,2,0.086179348
224_1,389,2,0.153679612
224_1,391,1,0.07505399
224_2,394,2,0.01520841
225_6,378,2,0.13248541
227_1,375,2,0.31244692
227_2,371,2,0.09508663
300_1,524,2,0.181616458
300_4,522,2,0.141515989
300_5,518,2,0.052746301
300_5,520,3,0.203593122
300_6,514,5,0.184109289
300_6,516,2,0.039310964
300_8,512,3,0.066816145
301_1,110,3,0.133502969
301_2,108,1,0.052039551
301_3,106,7,0.147811179
302_2,578,1,0.46597633
303_3,580,6,0.102629858
303_3,582,2,0.430972813
304_1,584,3,0.298063013
305_10,628,1,0.191364813
305_2,586,1,0.018149376
305_2,590,1,0.018149376
305_4,589,2,0.05450585
305_5,591,12,0.102096522
305_6,595,12,0.167054034
305_7,634,2,0.099475933
305_7,305,8,0.093100114
306_1,601,3,0.21060708
306_3,603,8,0.200179815
307_2,577,2,0.361990183
307_6,575,1,0.099949934
308_2,573,1,0.264636731
309_10,561,3,0.113228032
309_3,571,10,0.377593262
309_4,569,8,0.396352684
309_5,567,1,0.015339157
309_6,565,2,0.044825305
309_8,563,4,0.126187235
310_5,559,1,0.45473215
310_8,557,3,0.350709108
313_5,626,1,0.011538287
313_9,624,1,0.016361166
313_9,622,4,0.18062799
315_2,636,1,0.378831281
316_10,605,1,0.391195789
317_10,617,2,0.081862066
317_2,608,2,0.306770121
317_6,610,5,0.119923597
317_6,612,2,0.095636364
317_8,615,6,0.168760093
319_7,620,9,0.552404446
322_3,597,1,0.020091678
322_6,596,4,0.328268359
323_2,593,2,0.322381485
323_6,599,2,0.189624339
324_1,647,1,0.079675678
327_4,1004,1,0.349054819
328_6,1002,2,0.002749926
328_8,1000,2,0.026935565
331_4,992,1,0.110842894
332_3,994,3,0.200975944
332_6,996,1,0.163092339
333_1,998,3,0.204284732
335_8,990,1,0.069257016
76_5,449,2,0.06114167
