Transect.Label,Sample.Label,Effort,X,Y,Forest_type,For_non,Near_Road,Near_Water
71,71_1,1.056756944,659328.7535,5105571,Hard,Forest,0.865263078,0.237220192
71,71_2,1.056756944,660385.5104,5105571,Mixed,Forest,0.121580767,0.295998376
71,71_3,1.056756944,661442.2674,5105571,Non_forest,Non,0.056409536,0.016874289
76,76_1,0.931020963,659265.8855,5108571,Soft,Forest,0.576123527,0.316241926
76,76_2,0.931020963,660196.9064,5108571,Mixed,Forest,0.053971074,0.050150701
76,76_3,0.931020963,661127.9274,5108571,Soft,Forest,0.766102234,0.269417785
76,76_4,0.931020963,662058.9484,5108571,Mixed,Forest,0.551616862,0.308984455
76,76_5,0.931020963,662989.9693,5108571,Mixed,Forest,0.811828127,0.014717163
76,76_6,0.931020963,663920.9903,5108571,Mixed,Forest,0.323989618,0.246993651
76,76_7,0.931020963,664852.0113,5108571,Mixed,Forest,0.207756051,0.229271168
80,80_1,1,649300.375,5111571,Soft,Forest,0.249374017,0.237852788
80,80_2,1,650300.375,5111571,Soft,Forest,0.149196634,0.033693246
80,80_3,1,651300.375,5111571,Soft,Forest,0.293208979,0.127195502
80,80_4,1,652300.375,5111571,Soft,Forest,0.375915813,0.056320098
80,80_5,1,653300.375,5111571,Hard,Forest,1.374795561,0.414529103
80,80_6,1,654300.375,5111571,Hard,Forest,1.638741213,0.502806947
80,80_7,1,655300.375,5111571,Hard,Forest,0.785472136,0.491287527
80,80_8,1,656300.375,5111571,Hard,Forest,0.131750447,0.321579648
80,80_9,1,657300.375,5111571,Mixed,Forest,0.106319242,0.300339813
84,84_1,1,649300.375,5114571,Soft,Forest,0.180537818,0.194542296
84,84_2,1,650300.375,5114571,Soft,Forest,0.268735722,0.192528891
84,84_3,1,651300.375,5114571,Soft,Forest,0.091861934,0.330790211
84,84_4,1,652300.375,5114571,Non_forest,Non,0.047964409,0.239613222
84,84_5,1,653300.375,5114571,Soft,Forest,0.224393867,0.260485901
84,84_6,1,654300.375,5114571,Mixed,Forest,0.380306939,0.197134551
84,84_7,1,655300.375,5114571,Mixed,Forest,0.241729498,0.206548203
84,84_8,1,656300.375,5114571,Mixed,Forest,0.332272757,0.401712369
84,84_9,1,657300.375,5114571,Mixed,Forest,0.060687738,0.17279553
88,88_1,1,649300.375,5117571,Mixed,Forest,0.068903133,0.458135604
88,88_2,1,650300.375,5117571,Hard,Forest,0.035163024,0.310140208
88,88_3,1,651300.375,5117571,Soft,Forest,0.304132107,0.273765815
88,88_4,1,652300.375,5117571,Soft,Forest,0.188249895,0.061857556
88,88_5,1,653300.375,5117571,Mixed,Forest,0.218150562,0.2494631
88,88_6,1,654300.375,5117571,Hard,Forest,0.202293562,0.262782891
88,88_7,1,655300.375,5117571,Mixed,Forest,0.597113112,0.228908103
88,88_8,1,656300.375,5117571,Mixed,Forest,1.584075085,0.146015451
88,88_9,1,657300.375,5117571,Soft,Forest,1.291696145,0.063657893
92,92_1,1,649300.375,5120571,Hard,Forest,0.334767178,0.051015335
92,92_2,1,650300.375,5120571,Mixed,Forest,0.13607705,0.390954816
92,92_3,1,651300.375,5120571,Soft,Forest,0.115602096,0.199217308
92,92_4,1,652300.375,5120571,Soft,Forest,0.227790524,0.434064538
92,92_5,1,653300.375,5120571,Soft,Forest,0.08825141,0.444124852
92,92_6,1,654300.375,5120571,Soft,Forest,0.068817431,0.390193846
92,92_7,1,655300.375,5120571,Mixed,Forest,0.713498037,0.191136158
92,92_8,1,656300.375,5120571,Hard,Forest,1.056580104,0.046997219
92,92_9,1,657300.375,5120571,Mixed,Forest,1.831696413,0.175156524
98,98_1,1.029699027,649315.2245,5126571,Soft,Forest,0.416790419,0.112144444
98,98_2,1.029699027,650344.9235,5126571,Mixed,Forest,1.03144028,0.309091736
98,98_3,1.029699027,651374.6226,5126571,Mixed,Forest,0.144621701,0.311333399
98,98_4,1.029699027,652404.3216,5126571,Hard,Forest,0.224498847,0.267813183
98,98_5,1.029699027,653434.0206,5126571,Hard,Forest,0.704071146,0.10934005
98,98_6,1.029699027,654463.7196,5126571,Mixed,Forest,1.470684542,0.096707164
98,98_7,1.029699027,655493.4187,5126571,Hard,Forest,1.42231147,0.044513291
98,98_8,1.029699027,656523.1177,5126571,Mixed,Forest,0.487479266,0.096171974
101,101_1,1.039387503,649320.0688,5129571,Hard,Forest,0.926344259,0.56432214
101,101_2,1.039387503,650359.4563,5129571,Mixed,Forest,0.420556595,0.28685351
101,101_3,1.039387503,651398.8438,5129571,Hard,Forest,0.355045686,0.056196369
101,101_4,1.039387503,652438.2313,5129571,Soft,Forest,0.331372143,0.423632588
101,101_5,1.039387503,653477.6188,5129571,Soft,Forest,0.247700728,0.126228786
101,101_6,1.039387503,654517.0063,5129571,Hard,Forest,0.38908746,0.269180862
101,101_7,1.039387503,655556.3938,5129571,Hard,Forest,0.49811393,0.713709664
104,104_1,0.996042411,639298.3962,5132571,Mixed,Forest,0.55450256,0.300353077
104,104_2,0.996042411,640294.4386,5132571,Mixed,Forest,0.008549358,0.31369627
104,104_3,0.996042411,641290.481,5132571,Mixed,Forest,0.011718229,0.249893167
104,104_4,0.996042411,642286.5234,5132571,Hard,Forest,0.806224377,0.176202875
104,104_5,0.996042411,643282.5658,5132571,Hard,Forest,0.841501597,0.323574945
104,104_6,0.996042411,644278.6083,5132571,Soft,Forest,0.390195753,0.273763989
104,104_7,0.996042411,645274.6507,5132571,Non_forest,Non,0.201045438,0.01381466
104,104_8,0.996042411,646270.6931,5132571,Non_forest,Non,0.005991277,0.264029192
105,105_1,1.050800227,640123.3956,5135571,Soft,Forest,0.328620746,0.030812346
105,105_2,1.050800227,641174.1959,5135571,Soft,Forest,0.67608394,0.302180376
105,105_3,1.050800227,642224.9961,5135571,Mixed,Forest,1.686356033,0.004657691
105,105_4,1.050800227,643275.7963,5135571,Mixed,Forest,0.966074739,0.367195727
105,105_5,1.050800227,644326.5966,5135571,Mixed,Forest,0.747886329,0.283587386
105,105_6,1.050800227,645377.3968,5135571,Mixed,Forest,0.103283413,0.11457898
105,105_7,1.050800227,646428.197,5135571,Soft,Forest,0.20248884,0.186757331
106,106_1,1.031670431,640911.3996,5138571,Soft,Forest,0.075950017,0.018556702
106,106_2,1.031670431,641943.0701,5138571,Hard,Forest,0.644984698,0.141485316
106,106_3,1.031670431,642974.7405,5138571,Mixed,Forest,1.293390837,0.073335681
106,106_4,1.031670431,644006.4109,5138571,Mixed,Forest,1.636905455,0.328797622
106,106_5,1.031670431,645038.0814,5138571,Mixed,Forest,0.90065739,0.083178628
106,106_6,1.031670431,646069.7518,5138571,Hard,Forest,1.024870432,0.095278352
106,106_7,1.031670431,647101.4222,5138571,Hard,Forest,0.475834528,0.04797758
107,107_1,0.918256876,642644.7495,5141571,Soft,Forest,0.310684663,0.252883316
107,107_2,0.918256876,643563.0064,5141571,Hard,Forest,0.585821143,0.241060419
107,107_3,0.918256876,644481.2633,5141571,Hard,Forest,0.99675036,0.376983365
107,107_4,0.918256876,645399.5202,5141571,Hard,Forest,0.18565641,0.094489603
107,107_5,0.918256876,646317.777,5141571,Mixed,Forest,0.126551155,0.312173235
109,109_1,1.202354779,665996.8428,5105571,Mixed,Forest,0.116076708,0.511915397
109,109_2,1.202354779,667199.1976,5105571,Mixed,Forest,0.437211227,0.065402584
111,111_1,1.073732194,669337.2411,5108571,Non_forest,Non,0.033137492,0.306691231
111,111_2,1.073732194,670410.9733,5108571,Soft,Forest,0.733320967,0.127055006
111,111_3,1.073732194,671484.7055,5108571,Soft,Forest,0.145050716,0.158002462
111,111_4,1.073732194,672558.4377,5108571,Soft,Forest,0.097446664,0.130195117
111,111_5,1.073732194,673632.1699,5108571,Mixed,Forest,0.044437278,0.255256977
111,111_6,1.073732194,674705.9021,5108571,Mixed,Forest,0.383638717,0.114460407
112,112_0,1.024769681,681362.2992,5111571,Soft,Forest,0.77415331,0.156667875
112,112_1,1.024769681,679312.7598,5111571,Soft,Forest,0.317141772,0.014220238
112,112_2,1.024769681,680337.5295,5111571,Soft,Forest,0.306764493,0.137267233
112,112_3,1.024769681,682387.0689,5111571,Soft,Forest,0.287374793,0.066103703
112,112_4,1.024769681,683411.8386,5111571,Mixed,Forest,0.117816016,0.011483317
113,113_1,1,669300.375,5111571,Mixed,Forest,0.247611422,0.071338018
113,113_2,1,670300.375,5111571,Non_forest,Non,0.226685831,0.018415823
113,113_3,1,671300.375,5111571,Soft,Forest,0.170212074,0.319380622
113,113_4,1,672300.375,5111571,Non_forest,Non,0.264056143,0.241305887
113,113_5,1,673300.375,5111571,Soft,Forest,0.241962538,0.109332791
113,113_6,1,674300.375,5111571,Mixed,Forest,0.056158777,0.349889164
113,113_7,1,675300.375,5111571,Mixed,Forest,0.554674214,0.14552024
113,113_8,1,676300.375,5111571,Soft,Forest,0.724208391,0.203123955
113,113_9,1,677300.375,5111571,Mixed,Forest,0.04454355,0.028852204
114,114_1,1.017373975,662204.8181,5111571,Mixed,Forest,0.468561363,0.118254419
114,114_2,1.017373975,663222.1921,5111571,Mixed,Forest,0.080591993,0.250459504
114,114_3,1.017373975,664239.5661,5111571,Mixed,Forest,0.707335489,0.213651199
114,114_4,1.017373975,665256.9401,5111571,Non_forest,Non,0.35008954,0.176244061
114,114_5,1.017373975,666274.314,5111571,Mixed,Forest,0.659064166,0.006117872
114,114_6,1.017373975,667291.688,5111571,Mixed,Forest,0.718194246,0.15797241
116,116_1,0.952503038,679276.6265,5114571,Hard,Forest,0.569251986,0.488130011
116,116_2,0.952503038,680229.1296,5114571,Mixed,Forest,0.019124978,0.137660819
116,116_3,0.952503038,681181.6326,5114571,Mixed,Forest,0.19375394,0.051098554
116,116_4,0.952503038,682134.1356,5114571,Mixed,Forest,0.24909357,0.024492501
116,116_5,0.952503038,683086.6387,5114571,Soft,Forest,0.419739288,0.253758081
116,116_6,0.952503038,684039.1417,5114571,Mixed,Forest,1.287702278,0.110111626
116,116_7,0.952503038,684991.6447,5114571,Mixed,Forest,0.880974326,0.403340914
116,116_8,0.952503038,685944.1478,5114571,Mixed,Forest,0.058158682,0.01577569
117,117_1,1,669300.375,5114571,Hard,Forest,1.226809467,0.530975189
117,117_2,1,670300.375,5114571,Mixed,Forest,0.331378282,0.226342804
117,117_3,1,671300.375,5114571,Non_forest,Non,0.067919292,0.16623662
117,117_4,1,672300.375,5114571,Soft,Forest,0.016687307,0.022701463
117,117_5,1,673300.375,5114571,Hard,Forest,0.375639918,0.06646019
117,117_6,1,674300.375,5114571,Mixed,Forest,0.055300547,0.354696123
117,117_7,1,675300.375,5114571,Mixed,Forest,0.115190705,0.296880308
117,117_8,1,676300.375,5114571,Soft,Forest,0.058767111,0.326870004
117,117_9,1,677300.375,5114571,Soft,Forest,0.616600755,0.120265088
118,118_1,0.966659657,660550.4276,5114571,Mixed,Forest,0.464047369,0.00115271
118,118_2,0.966659657,661517.0872,5114571,Soft,Forest,0.00498709,0.105847261
118,118_3,0.966659657,662483.7469,5114571,Mixed,Forest,0.5470166,0.2629909
118,118_4,0.966659657,663450.4065,5114571,Soft,Forest,1.066943988,0.152687748
118,118_5,0.966659657,664417.0662,5114571,Mixed,Forest,0.321169845,0.002713938
118,118_6,0.966659657,665383.7259,5114571,Soft,Forest,0.090887637,0.144105998
118,118_7,0.966659657,666350.3855,5114571,Soft,Forest,0.334940284,0.083258369
118,118_8,0.966659657,667317.0452,5114571,Soft,Forest,0.014437605,0.196076788
120,120_1,1,679300.375,5117571,Soft,Forest,0.817681052,0.338057328
120,120_2,1,680300.375,5117571,Hard,Forest,1.814759631,0.467031132
120,120_3,1,681300.375,5117571,Mixed,Forest,1.517309645,0.359783653
120,120_4,1,682300.375,5117571,Hard,Forest,0.564782192,0.331342142
120,120_5,1,683300.375,5117571,Mixed,Forest,0.28527578,0.10029272
120,120_6,1,684300.375,5117571,Soft,Forest,0.181650385,0.020784777
120,120_7,1,685300.375,5117571,Soft,Forest,0.50829089,0.253923186
120,120_8,1,686300.375,5117571,Non_forest,Non,0.95182631,0.008583486
120,120_9,1,687300.375,5117571,Mixed,Forest,0.252194402,0.351919219
121,121_1,1,669300.375,5117571,Mixed,Forest,1.161649234,0.204374866
121,121_2,1,670300.375,5117571,Hard,Forest,0.751162161,0.094895295
121,121_3,1,671300.375,5117571,Hard,Forest,0.1834963,0.09828885
121,121_4,1,672300.375,5117571,Soft,Forest,0.342578591,0.467623906
121,121_5,1,673300.375,5117571,Soft,Forest,0.437624716,0.149214354
121,121_6,1,674300.375,5117571,Mixed,Forest,0.10837504,0.013797096
121,121_7,1,675300.375,5117571,Soft,Forest,0.156375405,0.353497611
121,121_8,1,676300.375,5117571,Soft,Forest,0.096728357,0.070321281
121,121_9,1,677300.375,5117571,Hard,Forest,0.781452615,0.293750062
122,122_1,1.023848762,660121.5093,5117571,Mixed,Forest,0.321803918,0.196190707
122,122_2,1.023848762,661145.358,5117571,Soft,Forest,0.253597944,0.029660921
122,122_3,1.023848762,662169.2068,5117571,Non_forest,Non,0.606937226,0.004395695
122,122_4,1.023848762,663193.0556,5117571,Hard,Forest,0.191666358,0.142554036
122,122_5,1.023848762,664216.9043,5117571,Mixed,Forest,1.16685681,0.205097744
122,122_6,1.023848762,665240.7531,5117571,Soft,Forest,1.339479345,0.104445319
122,122_7,1.023848762,666264.6019,5117571,Non_forest,Non,0.317274084,0.690600693
122,122_8,1.023848762,667288.4506,5117571,Soft,Forest,0.188314635,0.162800046
124,124_1,0.996278827,679298.5144,5120571,Mixed,Forest,1.066125814,0.061022924
124,124_2,0.996278827,680294.7932,5120571,Mixed,Forest,1.893283835,0.499281805
124,124_3,0.996278827,681291.0721,5120571,Hard,Forest,1.169989877,0.437903026
124,124_4,0.996278827,682287.3509,5120571,Mixed,Forest,0.916466768,0.298184144
124,124_5,0.996278827,683283.6297,5120571,Non_forest,Non,0.273837958,0.369843862
125,125_1,1,669300.375,5120571,Soft,Forest,0.014689095,0.048233447
125,125_2,1,670300.375,5120571,Soft,Forest,0.012891618,0.225178594
125,125_3,1,671300.375,5120571,Hard,Forest,0.838313622,0.224074541
125,125_4,1,672300.375,5120571,Mixed,Forest,0.127018088,0.02726888
125,125_5,1,673300.375,5120571,Mixed,Forest,0.671332007,0.193785319
125,125_6,1,674300.375,5120571,Soft,Forest,0.637298218,0.099135343
125,125_7,1,675300.375,5120571,Mixed,Forest,1.246665123,0.146442347
125,125_8,1,676300.375,5120571,Mixed,Forest,0.655250074,0.015405585
125,125_9,1,677300.375,5120571,Mixed,Forest,0.185237381,0.112306661
126,126_1,0.971049404,660517.5045,5120571,Non_forest,Non,0.482151573,0.147854271
126,126_2,0.971049404,661488.5539,5120571,Mixed,Forest,0.921177048,0.009990492
126,126_3,0.971049404,662459.6033,5120571,Soft,Forest,1.126934845,0.162503262
126,126_4,0.971049404,663430.6527,5120571,Mixed,Forest,1.852507169,0.052204656
126,126_5,0.971049404,664401.7021,5120571,Mixed,Forest,2.717635061,0.261365409
126,126_6,0.971049404,665372.7515,5120571,Mixed,Forest,1.831303452,0.067007334
126,126_7,0.971049404,666343.8009,5120571,Mixed,Forest,1.015607572,0.0776695
126,126_8,0.971049404,667314.8503,5120571,Soft,Forest,0.630242807,0.216963188
129,129_1,1.0704066,679335.5783,5123571,Soft,Forest,1.861519949,0.283023143
129,129_2,1.0704066,680405.9849,5123571,Soft,Forest,2.368012479,0.248768953
129,129_3,1.0704066,681476.3915,5123571,Mixed,Forest,1.681620471,0.211873982
129,129_4,1.0704066,682546.7981,5123571,Hard,Forest,0.86054552,0.170526794
129,129_5,1.0704066,683617.2047,5123571,Soft,Forest,0.335052852,0.509940334
129,129_6,1.0704066,684687.6113,5123571,Non_forest,Non,0.253755561,0.108831268
130,130_1,1,669300.375,5123571,Mixed,Forest,0.558160382,0.069946396
130,130_2,1,670300.375,5123571,Mixed,Forest,1.156846098,0.239194561
130,130_3,1,671300.375,5123571,Mixed,Forest,1.115335376,0.448011685
130,130_4,1,672300.375,5123571,Mixed,Forest,0.803101294,0.079918056
130,130_5,1,673300.375,5123571,Soft,Forest,0.148917616,0.312529934
130,130_6,1,674300.375,5123571,Soft,Forest,0.146492174,0.534101294
130,130_7,1,675300.375,5123571,Mixed,Forest,0.544490704,0.075373802
130,130_8,1,676300.375,5123571,Mixed,Forest,0.928378348,0.407410283
130,130_9,1,677300.375,5123571,Soft,Forest,0.146666614,0.268821501
131,131_1,1,659300.375,5123571,Hard,Forest,0.659215514,0.183154305
131,131_2,1,660300.375,5123571,Mixed,Forest,1.074399947,0.081424045
131,131_3,1,661300.375,5123571,Mixed,Forest,1.656829833,0.138539075
131,131_4,1,662300.375,5123571,Hard,Forest,1.460684971,0.027248716
131,131_5,1,663300.375,5123571,Mixed,Forest,0.541099976,0.259632979
131,131_6,1,664300.375,5123571,Soft,Forest,0.309494245,0.088337282
131,131_7,1,665300.375,5123571,Mixed,Forest,0.119560765,0.333248956
131,131_8,1,666300.375,5123571,Soft,Forest,0.764482184,0.25666044
131,131_9,1,667300.375,5123571,Soft,Forest,0.682123963,0.416261663
133,133_1,1.100138194,679350.4441,5126571,Mixed,Forest,2.25741165,0.05741815
133,133_2,1.100138194,680450.5823,5126571,Hard,Forest,1.277341386,0.318444379
133,133_3,1.100138194,681550.7205,5126571,Soft,Forest,0.487704713,0.216093912
