Year,SU,Area_km2,Park_Area,Strat_Area,Region,Moose_Seen,Moose_Tracks,Sightability_Rating,Adjusted_Track_Estimate,Total_Moose_Estimate
2020,1,0.34432,0,0,Outside,0,0,4,0,0
2020,2,1.05047,0,0.089164,Outside,0,0,4,0,0
2020,3,0.17297,0,0,Outside,0,0,4,0,0
2020,4,2.68487,0,0.474947,Outside,3,4,4,1,4
2020,5,4.64939,0,0.760216,Outside,0,2,4,0.5,1
2020,6,2.90146,0,0.555901,Outside,0,0,4,0,0
2020,7,0.62432,0,0.0753483,Outside,0,1,4,0.25,0
2020,8,0.43417,0,0.0855417,Outside,0,0,4,0,0
2020,9,4.18481,0,0.760261,Outside,0,3,4,0.75,1
2020,10,1.20905,0,0.24393,Outside,0,2,4,0.5,1
2020,11,0.56856,0,0.0389132,Outside,0,0,4,0,0
2020,12,4.47696,0,0.760444,Outside,2,2,4,0.5,3
2020,13,4.69675,0,0.760453,Outside,0,0,4,0,0
2020,14,4.69686,0,0.760462,Outside,0,1,4,0.25,0
2020,15,2.85007,0,0.437675,Outside,0,0,4,0,0
2020,16,0.42549,0,0,Outside,0,0,4,0,0
2020,17,2.92377,0,0.468519,Outside,0,1,4,0.25,0
2020,18,4.6644,0,0.760498,Outside,0,0,4,0,0
2020,19,0.71676,0,0.101077,Outside,0,0,4,0,0
2020,20,3.08995,0,0.505262,Outside,2,2,4,0.5,3
2020,21,4.69809,0,0.760681,Outside,4,1,4,0.25,4
2020,22,4.6982,0,0.760689,Outside,1,0,4,0,1
2020,23,4.69831,0,0.760698,Outside,0,0,4,0,0
2020,24,4.69842,0,0.760707,Outside,0,0,4,0,0
2020,25,4.45215,0,0.760716,Outside,0,0,4,0,0
2020,26,4.61055,0,0.760725,Outside,0,0,4,0,0
2020,27,2.82967,0,0.42221,Outside,0,0,4,0,0
2020,28,0.25567,0,0.0534832,Outside,0,0,4,0,0
2020,29,4.61205,0,0.760909,Outside,0,2,4,0.5,1
2020,30,4.69954,0,0.760917,Outside,0,0,4,0,0
2020,31,4.69965,0,0.760926,Outside,1,0,4,0,1
2020,32,4.69976,0,0.760935,Outside,0,0,4,0,0
2020,33,4.69987,0,0.760944,Outside,0,0,4,0,0
2020,34,4.69998,0,0.760953,Outside,1,1,4,0.25,1
2020,35,4.33107,0,0.757267,Outside,0,0,4,0,0
2020,36,0.40144,0,0.0126577,Outside,0,0,4,0,0
2020,37,1.52738,0,0.27861,Outside,1,0,4,0,1
2020,38,4.70089,0,0.761145,Outside,1,0,4,0,1
2020,39,4.70099,0,0.761154,Outside,0,0,4,0,0
2020,40,4.7011,0,0.761163,Outside,0,2,4,0.5,1
2020,41,4.70121,0,0.761172,Outside,2,0,4,0,2
2020,42,4.70132,0,0.76118,Outside,2,0,4,0,2
2020,43,4.70143,0,0.76119,Outside,0,0,4,0,0
2020,44,1.87758,0,0.281346,Outside,0,0,4,0,0
2020,45,2.16059,0,0.343096,Outside,3,2,4,0.5,4
2020,46,4.70233,0,0.761382,Outside,0,0,4,0,0
2020,47,4.70244,0,0.761391,Outside,3,0,4,0,3
2020,48,4.70255,0,0.761399,Outside,0,0,4,0,0
2020,49,4.70266,0,0.761408,Outside,0,0,4,0,0
2020,50,4.70277,0,0.761417,Outside,0,1,4,0.25,0
2020,51,4.70288,0,0.761426,Outside,0,0,4,0,0
2020,52,0.67675,0,0.112648,Outside,0,2,4,0.5,1
2020,53,2.87491,0,0.462234,Outside,0,0,5,0,0
2020,54,4.70378,0,0.761618,Outside,0,0,5,0,0
2020,55,4.70389,0,0.761627,Outside,0,0,5,0,0
2020,56,4.704,0,0.761636,Outside,0,0,5,0,0
2020,57,4.7041,0,0.761644,Outside,0,2,5,0,0
2020,58,4.70421,0,0.761653,Outside,0,0,5,0,0
2020,59,3.03649,0,0.499335,Outside,0,1,5,0,0
2020,60,0.25701,0,0.0354028,Outside,0,0,5,0,0
2020,61,0.16593,0,0,Outside,0,0,5,0,0
2020,62,4.2661,0,0.710946,Outside,0,0,5,0,0
2020,63,4.70523,0,0.761855,Outside,0,0,5,0,0
2020,64,4.70534,0,0.761863,Outside,0,0,5,0,0
2020,65,4.70544,0,0.761872,Outside,0,1,4,0.25,0
2020,66,4.70555,0,0.761881,Outside,0,0,4,0,0
2020,67,3.77726,0,0.555854,Outside,0,0,4,0,0
2020,68,1.49953,0,0.111941,Outside,0,1,4,0.25,0
2020,69,0.6891,0,0.0444468,Outside,0,0,4,0,0
2020,70,2.46444,0,0.398866,Outside,0,2,5,0,0
2020,71,4.70657,0,0.762083,Outside,0,0,5,0,0
2020,72,4.70668,0,0.762091,Outside,0,0,5,0,0
2020,73,4.70678,0,0.7621,Outside,0,0,5,0,0
2020,74,4.70689,0,0.762108,Outside,0,2,5,0,0
2020,75,4.707,0,0.762117,Outside,0,0,5,0,0
2020,76,4.60966,0,0.762126,Outside,2,0,5,0,2
2020,77,4.41696,0,0.762135,Outside,0,0,4,0,0
2020,78,2.60691,0,0.366001,Outside,1,1,5,0,1
2020,79,1.29739,0,0.180659,Outside,0,0,4,0,0
2020,80,4.61893,0,0.762311,Outside,0,0,4,0,0
2020,81,4.70802,0,0.762319,Outside,1,0,4,0,1
2020,82,4.70812,0,0.762327,Outside,0,1,4,0.25,0
2020,83,4.70823,0,0.762336,Outside,1,0,4,0,1
2020,84,4.70834,0,0.762345,Outside,0,0,4,0,0
2020,85,4.70845,0,0.762353,Outside,0,1,4,0.25,0
2020,86,4.70856,0,0.762362,Outside,0,0,4,0,0
2020,87,4.52258,0,0.6907,Outside,1,0,4,0,1
2020,88,1.38184,0,0.0113408,Outside,0,2,4,0.5,1
2020,89,2.44203,0,0.39304,Outside,0,0,4,0,0
2020,90,1.2192,0,0,Outside,0,0,4,0,0
2020,91,2.75353,0,0.447549,Outside,0,0,4,0,0
2020,92,0.07921,0,0,Outside,0,0,4,0,0
2020,93,0.37727,0,0.0679179,Outside,0,0,3,0,0
2020,94,4.53169,0,0.762538,Outside,1,0,3,0,1
2020,95,4.70936,0,0.762547,Outside,1,0,3,0,1
2020,96,4.70946,0,0.762555,Outside,1,0,3,0,1
2020,97,4.70957,0,0.762563,Outside,0,0,3,0,0
2020,98,4.70967,0,0.762572,Outside,0,0,3,0,0
2020,99,4.70978,0,0.762581,Outside,0,0,3,0,0
2020,100,4.70989,0.11462,0.76259,Outside,0,2,3,1,1
2020,101,4.71,2.31674,0.762599,Park,0,2,3,1,1
2020,102,4.71012,1.07114,0.762608,Park,0,2,3,1,1
2020,103,4.71022,2.03107,0.762617,Park,0,2,3,1,1
2020,104,4.71034,0.10562,0.762626,Outside,0,2,3,1,1
2020,105,4.71046,0,0.762636,Outside,0,4,3,2,2
2020,106,4.71058,0,0.762645,Outside,0,1,3,0.5,1
2020,107,2.78518,0,0.482231,Outside,0,0,3,0,0
2020,108,2.44701,0,0.400001,Outside,0,0,3,0,0
2020,109,4.7107,0,0.762775,Outside,0,0,3,0,0
2020,110,4.71081,0,0.762783,Outside,0,0,3,0,0
2020,111,4.71091,0,0.762791,Outside,0,0,4,0,0
2020,112,4.71101,0,0.7628,Outside,0,1,4,0.25,0
