Year,Stratum,SU,Area,Moose,Park,Park_Area
2020,Low,6,2.90146,0,N,0
2020,Medium,42,4.70132,8,N,0
2020,Medium,47,4.70244,1,N,0
2020,Low,64,4.70534,9,N,0
2020,Low,89,2.44203,0,N,0
2020,Low,95,4.70936,7,N,0
2020,Low,97,4.70957,0,N,0
2020,Low,102,4.71012,2,Y,1.07114
2020,High,141,4.09986,4,Y,4.0995
2020,Low,143,4.71349,0,Y,4.45901
2020,Low,164,4.71524,1,Y,4.71524
2020,Medium,169,4.71578,5,Y,4.71578
2020,Low,171,4.71601,3,Y,4.71601
2020,High,200,4.71792,0,Y,4.71792
2020,Medium,212,4.71925,1,Y,4.71925
2020,Medium,222,4.71968,3,Y,4.71968
2020,High,224,4.71989,13,Y,4.71989
2020,Low,227,4.72023,1,Y,4.72023
2020,High,234,4.72042,12,Y,4.72042
2020,Low,246,4.72167,4,Y,4.72167
2020,High,249,4.72202,3,Y,4.72202
2020,Low,256,4.72215,8,Y,4.72215
2020,Medium,274,4.72349,7,Y,4.72349
2020,Low,282,4.72433,2,Y,4.72433
2020,Medium,294,4.72503,12,Y,4.72503
2020,Low,298,4.72545,6,Y,1.40352
2020,Low,304,4.72611,2,Y,4.51793
2020,Low,308,4.72608,0,Y,4.72608
2020,High,312,4.72647,34,Y,4.72647
2020,High,313,4.72658,34,Y,4.72658
2020,Low,327,2.60981,0,N,0
2020,Medium,332,4.72772,8,Y,4.72772
2020,High,335,4.72802,11,Y,4.72802
2020,Low,341,4.72866,2,Y,3.92304
2020,Low,351,4.72896,1,Y,1.49036
2020,Medium,354,4.72926,9,Y,2.33029
2020,High,356,4.72946,8,Y,4.72946
2020,Medium,362,4.73009,8,N,0.0011
2020,Low,371,4.73022,1,N,0
2020,Low,376,4.73069,4,N,0
2020,Medium,377,4.73079,8,Y,0.7275
2020,Low,378,4.7309,1,Y,3.96591
2020,High,397,4.73213,4,N,0
2020,Low,403,4.73276,0,N,0
2020,High,408,4.73332,7,N,0
2020,Medium,412,4.73309,6,N,0
2020,Medium,417,4.73357,12,N,0
2020,Medium,418,4.73367,7,N,0
2020,Medium,421,4.73398,4,N,0
2020,Medium,422,4.73409,3,N,0
2020,Medium,439,4.73511,11,N,0
2020,Medium,440,4.73521,2,N,0
2020,Low,443,4.73553,3,N,0
2020,Low,450,4.40087,0,N,0
2020,Low,487,4.73862,3,N,0
2020,Low,500,4.73922,0,N,0
2020,Low,507,4.73995,0,N,0
2020,Low,518,4.74037,0,N,0
2020,Medium,522,4.74076,6,N,0
2020,Medium,530,4.74161,1,N,0
2020,Low,556,4.74306,1,N,0
2020,Low,582,4.74497,0,N,0
2020,Low,585,4.74527,10,N,0
2020,Low,603,4.7464,0,N,0
2020,Medium,619,4.74736,0,N,0
2020,Medium,630,4.74846,4,N,0
2020,Low,634,4.7489,4,N,0
2020,Low,661,4.75041,0,N,0
2020,Low,670,4.75132,2,N,0
2020,Low,671,4.75143,0,N,0
2020,Low,683,4.75213,1,N,0
2020,Low,685,4.75234,4,N,0
2020,Low,686,4.75244,2,N,0
2020,Low,687,4.75254,0,N,0
2020,Low,702,4.75357,1,N,0
2020,Low,704,4.75377,7,N,0
2020,Low,707,4.75408,0,N,0
2020,Low,721,4.755,0,N,0
2020,Low,726,4.75552,0,N,0
2020,Low,740,4.75674,0,N,0
2020,Low,742,4.75695,1,N,0
2020,Low,766,4.75939,0,N,0
2020,Low,788,4.76186,0,N,0
2020,Medium,794,4.76246,1,N,0
2020,Low,797,4.76278,0,N,0
2020,Low,811,2.48954,0,N,0
2020,Low,813,4.76482,0,N,0
2020,Low,837,4.76787,1,N,0
2020,Low,864,4.64328,0,N,0
2020,Low,866,4.77196,0,N,0
2020,Low,874,4.13633,0,N,0
